N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
8749,[DMM2009] J004208.98+411547.2,399.24,0,2009ApJ...703..441D,,17.23,16.51,,1
8750,[DMM2009] J004209.17+410227.2,911.48,0,2009ApJ...703..441D,,18.41,17.76,,1
8751,[DMM2009] J004209.31+404800.7,1733.04,0,2009ApJ...703..441D,,16.89,16.15,,1
8752,[DMM2009] J004209.57+413731.4,1342.13,0,2009ApJ...703..441D,,18.58,17.67,,1
8753,[DMM2009] J004209.63+403327.7,2590.09,0,2009ApJ...703..441D,,18.63,17.99,,1
8754,[DMM2009] J004209.94+405256.5,1444.58,0,2009ApJ...703..441D,,17.12,16.28,,1
8755,[DMM2009] J004210.10+410340.2,841.48,0,2009ApJ...703..441D,,18.21,17.44,,1
8756,[DMM2009] J004210.19+412247.7,554.98,0,2009ApJ...703..441D,,17.1,16.06,,1
8757,[DMM2009] J004210.69+410508.3,760.92,0,2009ApJ...703..441D,,18.88,17.58,,1
8758,[DMM2009] J004210.84+405517.2,1306.53,0,2009ApJ...703..441D,,18.49,17.8,,1
8759,[DMM2009] J004211.06+404216.8,2065.46,0,2009ApJ...703..441D,,19.83,18.45,,1
8760,[DMM2009] J004211.10+411333.5,405.36,0,2009ApJ...703..441D,,17.45,16.7,,1
8761,[DMM2009] J004211.34+410258.7,872.53,0,2009ApJ...703..441D,,17.95,16.93,,1
8762,[DMM2009] J004211.57+405653.1,1212.52,0,2009ApJ...703..441D,,18.79,17.76,,1
8763,[DMM2009] J004211.59+410155.4,929.08,0,2009ApJ...703..441D,,18.49,18,,1
8764,[DMM2009] J004211.95+413339.9,1113.58,0,2009ApJ...703..441D,,19.55,18.23,,1
8767,[DMM2009] J004212.48+411654.1,362.33,0,2009ApJ...703..441D,,18.3,17.57,,1
8768,[DMM2009] J004212.85+404433.2,1927.68,0,2009ApJ...703..441D,,18.85,18.16,,1
8769,[DMM2009] J004212.91+410206.2,913.2,0,2009ApJ...703..441D,,17.66,16.83,,1
8770,[DMM2009] J004212.93+404902.7,1663.5,0,2009ApJ...703..441D,,18.48,17.98,,1
8771,[DMM2009] J004213.02+410612.1,692.54,0,2009ApJ...703..441D,,19.11,18.47,,1
8772,[DMM2009] J004213.04+403952.2,2203.99,0,2009ApJ...703..441D,,18.54,17.21,,1
8774,[DMM2009] J004213.27+405855.9,1089.83,0,2009ApJ...703..441D,,17.71,17.01,,1
8775,[DMM2009] J004213.30+411253.7,400.26,0,2009ApJ...703..441D,,18.17,17.35,,1
8776,[DMM2009] J004213.42+405839.6,1104.76,0,2009ApJ...703..441D,,18.26,17.15,,1
8777,[DMM2009] J004213.53+403652.3,2381.11,0,2009ApJ...703..441D,,18.42,17.74,,1
8778,[DMM2009] J004213.55+405712.4,1187.41,0,2009ApJ...703..441D,,19.59,18.3,,1
8779,[DMM2009] J004213.57+405802.8,1139.23,0,2009ApJ...703..441D,,18.11,17.48,,1
